Input DI: 0.00 | Generated Real DI: 0.012227
Input DI: 0.02 | Generated Real DI: 0.012856
Input DI: 0.04 | Generated Real DI: 0.013540
Input DI: 0.06 | Generated Real DI: 0.014279
Input DI: 0.08 | Generated Real DI: 0.015395
Input DI: 0.10 | Generated Real DI: 0.017463
Input DI: 0.12 | Generated Real DI: 0.019890
Input DI: 0.14 | Generated Real DI: 0.022477
Input DI: 0.16 | Generated Real DI: 0.025219
Input DI: 0.18 | Generated Real DI: 0.028118
Input DI: 0.20 | Generated Real DI: 0.031179
Input DI: 0.22 | Generated Real DI: 0.033108
Input DI: 0.24 | Generated Real DI: 0.035048
Input DI: 0.26 | Generated Real DI: 0.037054
Input DI: 0.28 | Generated Real DI: 0.038642
Input DI: 0.30 | Generated Real DI: 0.039971
Input DI: 0.32 | Generated Real DI: 0.041319
Input DI: 0.34 | Generated Real DI: 0.042679
Input DI: 0.36 | Generated Real DI: 0.043944
Input DI: 0.38 | Generated Real DI: 0.045024
Input DI: 0.40 | Generated Real DI: 0.046229
Input DI: 0.42 | Generated Real DI: 0.047722
Input DI: 0.44 | Generated Real DI: 0.049762
Input DI: 0.46 | Generated Real DI: 0.051281
Input DI: 0.48 | Generated Real DI: 0.052206
Input DI: 0.50 | Generated Real DI: 0.053111
